trial,ID,sex ,substrate_type,pauses_side,pauses_top,bipedal_quad_side,bipedal_quad_top,biped_combined,bipedal_side,bipedal_top,biped_tot,total_video_frames,bipedal_percent,no_start_from_standstill,stops_before_end_of_racetrack,calibration,side_amax,side_pmax,side_posmax,side_tmax,side_vmax,side_spline_tol,top_amax,top_pmax,top_posmax,top_tmax,top_vmax,top_spline_tol,peak_v,peak_v_cam
07.28.20_1630,L,F,SD,0,1,Q,Q,Q,,,,,,N,N,1456,22,12.4283,0.4787,0.44,1.4573,4.43E-09,17.588,8.2569,0.6948,1.138,1.4173,1.11E-08,1.4573,1
07.28.20_1715,L,F,SD,0,0,Q,Q,Q,,,,,,N,N,1456,57,28.6822,0.4602,0.468,1.3364,4.43E-09,9.6764,12.7875,0.6961,0.626,1.6591,5.70E-09,1.6591,2
07.28.20_1739,M,F,SD,0,0,Q,B,B,,57,57,462,12.33766234,N,N,1456,25,28.0657,0.4539,0.606,1.612,4.43E-09,5.2707,10.4702,0.6968,0.37,2.1614,4.20E-09,2.1614,2
07.29.20_0957,L,F,SD,0,0,Q,B,B,,64,64,557,11.49012567,N,N,1451,17,10.8577,0.5092,0.566,1.2092,3.83E-09,12.0177,15.9374,0.6983,0.632,1.6742,5.70E-09,1.6742,2
07.29.20_1003,K,F,SD,1,0,B,B,B,75,14,89,592,15.03378378,N,N,1451,37,16.8155,0.4912,0.642,1.4974,5.03E-09,14.5483,25.0213,0.6959,0.594,1.851,5.70E-09,1.851,2
07.29.20_1028,L,F,SD,0,0,Q,Q,Q,,,,,,N,N,1451,47,28.5809,0.4662,0.592,1.1348,4.43E-09,11.5524,16.5382,0.6983,0.574,1.6866,5.70E-09,1.6866,2
07.29.20_1034,K,F,SD,0,0,Q,Q,Q,,,,,,N,N,1451,26,7.1702,0.3678,0.444,1.0711,5.13E-09,7.7554,9.2106,0.6986,0.532,1.7152,5.70E-09,1.7152,2
07.29.20_1042,M,F,SD,0,0,Q,Q,Q,,,,,,N,N,1451,25,11.7011,0.4694,0.45,1.2468,4.43E-09,11.0865,16.3009,0.6988,0.534,1.7537,5.70E-09,1.7537,2
07.29.20_1518,K,F,S,1,1,Q,Q,Q,,,,,,N,N,1453,35,14.7001,0.5762,0.1018,1.4401,7.93E-09,13.3633,12.6831,0.6978,0.636,1.337,5.70E-09,1.4401,2
07.29.20_1541,L,F,S,1,0,Q,Q,Q,,,,,,N,N,1453,23,7.4981,0.5865,0.95,1.0253,5.23E-09,11.5735,10.4408,0.6965,0.622,1.7576,5.70E-09,1.7576,2
07.29.20_1558,M,F,S,0,0,Q,Q,Q,,,,,,N,N,1453,30,11.3757,0.5453,0.648,1.5117,5.83E-09,8.7569,11.9199,0.697,0.592,1.6129,5.70E-09,1.6129,2
07.29.20_1631,K,F,S,2,0,Q,Q,Q,,,,,,N,N,1453,33,21.1313,0.5557,0.882,1.456,5.63E-09,19.2659,20.5517,0.6971,0.518,1.6252,3.80E-09,1.6252,2
07.29.20_1656,L,F,S,1,0,Q,Q,Q,,,,,,N,N,1453,43,31.2058,0.5251,0.804,1.1386,5.63E-09,9.6789,8.5748,0.6977,0.752,1.2142,5.70E-09,1.2142,2
07.30.20_1527,O,F,D,0,0,B,B,B,25,176,201,408,49.26470588,N,N,1452,17,13.1746,0.4543,0.462,1.5696,4.73E-09,9.3969,17.4901,0.6956,0.402,1.9701,3.30E-09,1.9701,2
07.30.20_1536,Q,M,D,0,0,Q,Q,Q,,,,,,N,N,1452,25,11.2169,0.4839,0.438,1.637,4.43E-09,7.8065,12.8161,0.6965,0.398,1.9432,5.70E-09,1.9432,2
07.30.20_1547,R,F,D,0,0,B,B,B,68,155,223,345,64.63768116,N,N,1452,42,28.9623,0.4683,0.38,1.8589,3.03E-09,11.4766,20.9971,0.6962,0.35,2.2559,3.40E-09,2.2559,2
07.30.20_1558,O,F,D,0,0,Q,Q,Q,,,,,,N,N,1452,30,18.1485,0.5098,0.414,1.7247,4.43E-09,13.1016,21.0236,0.6986,0.464,1.6947,3.70E-09,1.7247,1
07.30.20_1607,Q,M,D,0,0,B,B,B,72,133,205,401,51.12219451,N,N,1452,32,21.9549,0.5238,0.42,1.5769,4.43E-09,5.8404,10.3453,0.6995,0.406,1.8965,3.60E-09,1.8965,2
07.30.20_1638,Q,M,D,0,0,Q,Q,Q,,,,,,N,N,1452,28,10.614,0.5174,0.554,1.3926,4.43E-09,11.3135,14.1537,0.6987,0.524,1.6686,5.70E-09,1.6686,2
07.30.20_1651,R,F,D,0,0,B,B,B,110,155,265,368,72.01086957,N,N,1452,35,24.1898,0.4944,0.422,1.869,4.43E-09,6.5108,13.1874,0.6978,0.354,2.1369,5.70E-09,2.1369,2
07.30.20_1723,R,F,S,0,1,Q,Q,Q,,,,,,N,N,1452,24,22.2597,0.5303,0.438,1.5021,4.43E-09,22.1457,11.2838,0.6982,0.774,1.4537,5.70E-09,1.5021,1
07.31.20_0933,O,F,S,0,0,Q,Q,Q,,,,,,N,N,1446,25,12.5074,0.4155,0.33,1.6696,3.13E-09,12.0976,10.1769,0.7018,0.702,1.6575,5.70E-09,1.6696,2
07.31.20_1037,R,F,S,0,0,B,B,B,117,130,247,524,47.13740458,N,N,1446,33,15.0891,0.5881,0.454,1.6209,3.53E-09,8.4604,12.5761,0.6912,0.652,1.6059,5.70E-09,1.6209,2
07.31.20_1405,R,F,S,0,0,Q,B,B,,52,52,517,10.05802708,N,N,1445,32,14.0732,0.607,0.496,1.5379,5.43E-09,16.519,16.9374,0.7012,0.618,1.681,5.70E-09,1.681,2
